word_hex,name,bank,label,snes_addr
00B1,SPACE,B6,Text_Forecast_Spring_Sunny,B68000
00B1,SPACE,B6,Text_Forecast_Spring_Sunny,B68000
00B1,SPACE,B6,Text_Forecast_Spring_Sunny,B68000
00B1,SPACE,B6,Text_Forecast_Spring_Sunny,B68000
00B1,SPACE,B6,Text_Forecast_Spring_Sunny,B68000
00B1,SPACE,B6,Text_Forecast_Spring_Sunny,B68000
00B1,SPACE,B6,Text_Forecast_Spring_Sunny,B68000
00B1,SPACE,B6,Text_Forecast_Spring_Sunny,B68000
00B1,SPACE,B6,Text_Forecast_Spring_Sunny,B68000
00B1,SPACE,B6,Text_Forecast_Spring_Sunny,B68000
00B1,SPACE,B6,Text_Forecast_Spring_Sunny,B68000
00B1,SPACE,B6,Text_Forecast_Spring_Sunny,B68000
00B1,SPACE,B6,Text_Forecast_Spring_Sunny,B68000
00B1,SPACE,B6,Text_Forecast_Spring_Sunny,B68000
00B1,SPACE,B6,Text_Forecast_Spring_Sunny,B68000
00B1,SPACE,B6,Text_Forecast_Spring_Sunny,B68000
00B1,SPACE,B6,Text_Forecast_Spring_Sunny,B68000
00B1,SPACE,B6,Text_Forecast_Spring_Sunny,B68000
00A2,LINE,B6,Text_Forecast_Spring_Sunny,B68000
00B1,SPACE,B6,Text_Forecast_Spring_Sunny,B68000
00B1,SPACE,B6,Text_Forecast_Spring_Sunny,B68000
00B1,SPACE,B6,Text_Forecast_Spring_Sunny,B68000
00B1,SPACE,B6,Text_Forecast_Spring_Sunny,B68000
FFFF,END,B6,Text_Forecast_Spring_Sunny,B68000
00B1,SPACE,B6,Text_Forecast_Summer_Sunny,B680D8
00B1,SPACE,B6,Text_Forecast_Summer_Sunny,B680D8
00B1,SPACE,B6,Text_Forecast_Summer_Sunny,B680D8
00B1,SPACE,B6,Text_Forecast_Summer_Sunny,B680D8
00B1,SPACE,B6,Text_Forecast_Summer_Sunny,B680D8
00B1,SPACE,B6,Text_Forecast_Summer_Sunny,B680D8
00B1,SPACE,B6,Text_Forecast_Summer_Sunny,B680D8
00B1,SPACE,B6,Text_Forecast_Summer_Sunny,B680D8
00B1,SPACE,B6,Text_Forecast_Summer_Sunny,B680D8
