subsystem,symbol,file,line,text
stamina,!game_state,src/code_banks/bank_80.asm,50,LDA.B !game_state
stamina,!game_state,src/code_banks/bank_80.asm,52,STA.B !game_state
time_day_cycle,!hour,src/code_banks/bank_80.asm,1875,LDA.L !hour
time_day_cycle,!time_running,src/code_banks/bank_80.asm,1912,LDA.W !time_running
time_day_cycle,!hour,src/code_banks/bank_80.asm,1941,LDA.L !hour
time_day_cycle,!palette_to_load,src/code_banks/bank_80.asm,2115,STA.W !palette_to_load
time_day_cycle,!hour,src/code_banks/bank_80.asm,2363,LDA.L !hour
time_day_cycle,!palette_to_load,src/code_banks/bank_80.asm,2395,STA.W !palette_to_load
time_day_cycle,!hour,src/code_banks/bank_80.asm,2419,LDA.L !hour
time_day_cycle,!hour,src/code_banks/bank_80.asm,2474,LDA.L !hour
time_day_cycle,!season,src/code_banks/bank_80.asm,2498,LDA.L !season
time_day_cycle,!hour,src/code_banks/bank_80.asm,2556,LDA.L !hour
time_day_cycle,!hour,src/code_banks/bank_80.asm,2661,LDA.L !hour
time_day_cycle,!palette_to_load,src/code_banks/bank_80.asm,2693,CMP.W !palette_to_load
time_day_cycle,!palette_to_load,src/code_banks/bank_80.asm,2701,STA.W !palette_to_load
time_day_cycle,!hour,src/code_banks/bank_80.asm,2713,LDA.L !hour
time_day_cycle,!season,src/code_banks/bank_80.asm,2748,LDA.L !season
time_day_cycle,!hour,src/code_banks/bank_80.asm,2798,LDA.L !hour                        ;8095EA;7F1F1C;Hour
time_day_cycle,!season,src/code_banks/bank_80.asm,2828,LDA.L !season                        ;809629;7F1F19;Season
stamina,!game_state,src/code_banks/bank_80.asm,2940,LDA.B !game_state
stamina,!game_state,src/code_banks/bank_80.asm,2942,STA.B !game_state
time_day_cycle,!time_running,src/code_banks/bank_80.asm,2975,STZ.W !time_running
time_day_cycle,!time_running,src/code_banks/bank_80.asm,2989,STA.W !time_running
time_day_cycle,!hour,src/code_banks/bank_80.asm,3079,LDA.L !hour                        ;809812;7F1F1C;
stamina,!game_state,src/code_banks/bank_80.asm,3211,AND.B !game_state
stamina,!game_state,src/code_banks/bank_80.asm,3212,STA.B !game_state
stamina,!game_state,src/code_banks/bank_80.asm,3219,AND.B !game_state
stamina,!game_state,src/code_banks/bank_80.asm,3220,STA.B !game_state
tools_items,!item_on_hand,src/code_banks/bank_80.asm,3222,LDA.W !item_on_hand
tools_items,!item_on_hand,src/code_banks/bank_80.asm,3264,STZ.W !item_on_hand
stamina,!game_state,src/code_banks/bank_80.asm,3268,AND.B !game_state
stamina,!game_state,src/code_banks/bank_80.asm,3269,STA.B !game_state
stamina,!player_action,src/code_banks/bank_80.asm,3283,STA.B !player_action
time_day_cycle,!time_running,src/code_banks/bank_80.asm,3329,; hour/week/season/day/festival flags and can stop !time_running during
stamina,!game_state,src/code_banks/bank_80.asm,3356,LDA.B !game_state
stamina,!player_action,src/code_banks/bank_80.asm,3396,STA.B !player_action
stamina,!game_state,src/code_banks/bank_80.asm,3398,LDA.B !game_state
stamina,!game_state,src/code_banks/bank_80.asm,3400,STA.B !game_state
time_day_cycle,!season,src/code_banks/bank_80.asm,3443,ADC.L !season
time_day_cycle,!day,src/code_banks/bank_80.asm,3451,LDA.L !day
time_day_cycle,!season,src/code_banks/bank_80.asm,3468,LDA.L !season
time_day_cycle,!season,src/code_banks/bank_80.asm,3476,LDA.L !season
time_day_cycle,!hour,src/code_banks/bank_80.asm,3493,LDA.L !hour
