group,entry,target,pass81_entry_alias,alias_tier,confidence,group_semantic_name,group_category,first_opcode,first_name,classes,commands,stop_reason,reason,pseudocode_preview
$00,0,$B38CC8,EventScript_G00_Entry000_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,group_semantic_structural,medium_high_structural,ObjectAnimalHouseUpgradeDialogHub,dialog_anchor,$2B,SetCCObjectVisual,cc_state_object:1 animals:1 script_control:1,3,next_entry_boundary,Derived from Pass80 group semantic name plus first_cmd.,"SetCCObjectVisual(ptr=$815C, bank_or_mode=$00) ; ChickenRelated() ; Jump(target=$B38CCC)"
$00,1,$B38CD0,EventScript_G00_Entry001_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,group_semantic_structural,medium_high_structural,ObjectAnimalHouseUpgradeDialogHub,dialog_anchor,$2B,SetCCObjectVisual,cc_state_object:3 animals:1 script_control:1,5,next_entry_boundary,Derived from Pass80 group semantic name plus first_cmd.,"SetCCObjectVisual(ptr=$8150, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8150, d=$10) ; SetCCObjectParam10() ; ChickenRelated() ; Jump(target=$B38CDA)"
$00,2,$B38CDE,EventScript_G00_Entry002_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,group_semantic_structural,medium_high_structural,ObjectAnimalHouseUpgradeDialogHub,dialog_anchor,$2B,SetCCObjectVisual,cc_state_object:2 animals:1 script_control:1,4,next_entry_boundary,Derived from Pass80 group semantic name plus first_cmd.,"SetCCObjectVisual(ptr=$8144, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8144, d=$10) ; ChickenRelated() ; Jump(target=$B38CE7)"
$00,3,$B38CEB,EventScript_G00_Entry003_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,group_semantic_structural,medium_high_structural,ObjectAnimalHouseUpgradeDialogHub,dialog_anchor,$2B,SetCCObjectVisual,cc_state_object:2 animals:1 script_control:1,4,next_entry_boundary,Derived from Pass80 group semantic name plus first_cmd.,"SetCCObjectVisual(ptr=$86C0, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$86CC, d=$10) ; CowRelated() ; Jump(target=$B38CF4)"
$00,4,$B38CF8,EventScript_G00_Entry004_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,group_semantic_structural,medium_high_structural,ObjectAnimalHouseUpgradeDialogHub,dialog_anchor,$2B,SetCCObjectVisual,cc_state_object:2 animals:1 script_control:1,4,next_entry_boundary,Derived from Pass80 group semantic name plus first_cmd.,"SetCCObjectVisual(ptr=$86A8, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$86B4, d=$10) ; CowRelated() ; Jump(target=$B38D01)"
$00,5,$B38D05,EventScript_G00_Entry005_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,group_semantic_structural,medium_high_structural,ObjectAnimalHouseUpgradeDialogHub,dialog_anchor,$2B,SetCCObjectVisual,cc_state_object:2 animals:1 script_control:1,4,next_entry_boundary,Derived from Pass80 group semantic name plus first_cmd.,"SetCCObjectVisual(ptr=$80FC, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8108, d=$10) ; CowRelated() ; Jump(target=$B38D0E)"
$00,6,$B38D12,EventScript_G00_Entry006_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,group_semantic_structural,medium_high_structural,ObjectAnimalHouseUpgradeDialogHub,dialog_anchor,$2B,SetCCObjectVisual,cc_state_object:2 animals:1 script_control:1,4,next_entry_boundary,Derived from Pass80 group semantic name plus first_cmd.,"SetCCObjectVisual(ptr=$8708, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8714, d=$10) ; CowRelated() ; Jump(target=$B38D1B)"
$00,7,$B38D1F,EventScript_G00_Entry007_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,group_semantic_structural,medium_high_structural,ObjectAnimalHouseUpgradeDialogHub,dialog_anchor,$2B,SetCCObjectVisual,cc_state_object:2 animals:1 script_control:1,4,next_entry_boundary,Derived from Pass80 group semantic name plus first_cmd.,"SetCCObjectVisual(ptr=$86D8, bank_or_mode=$00) ; SetCCObjectParam5(a=$02, ptr=$86E4, d=$10) ; CowRelated() ; Jump(target=$B38D28)"
$00,8,$B38D2C,EventScript_G00_Entry008_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,group_semantic_structural,medium_high_structural,ObjectAnimalHouseUpgradeDialogHub,dialog_anchor,$2B,SetCCObjectVisual,cc_state_object:2 animals:1 script_control:1,4,next_entry_boundary,Derived from Pass80 group semantic name plus first_cmd.,"SetCCObjectVisual(ptr=$86F0, bank_or_mode=$00) ; SetCCObjectParam5(a=$02, ptr=$86FC, d=$10) ; CowRelated() ; Jump(target=$B38D35)"
$00,9,$B38D39,EventScript_G00_Entry009_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,group_semantic_structural,medium_high_structural,ObjectAnimalHouseUpgradeDialogHub,dialog_anchor,$2B,SetCCObjectVisual,cc_state_object:2 animals:1 script_control:1,4,next_entry_boundary,Derived from Pass80 group semantic name plus first_cmd.,"SetCCObjectVisual(ptr=$872C, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$872C, d=$10) ; CowRelated() ; Jump(target=$B38D42)"
